Watch Number,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.,,
,Kalki 2898 AD,Hindi,None,3D,P[XL]; RealD; Atmos,2K,5.1,1.85:1,2.39:1,28 Jun 2024,18 Jul 2024,"TDI Jagat, Chandigarh, India",,,,
,Twsiters,English,English,2D,ICE,2K,5.1,2.39:1,2.39:1,18 Jul 2024,25 Jul 2024,"DLF Promenade, Delhi",,,,
,Deadpool And Wolverine,English,English,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,26 Jul 2024,26 Jul 2024,"Select Citywalk,Saket, Delhi",,,,
,Deadpool And Wolverine,Hindi,None,3D,RealD; Atmos,2K,5.1,2.39:1,2.39:1,26 Jul 2024,1 Aug 2024,"TDI Jagat, Chandigarh, India",,,,
,Partner,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,20 Jul 2007,3 Aug 2024,"Elante Mall, Chandigarh, India",,,,
,Uljah,Hindi,None,2D,P[XL]; 4K,2K,5.1,1.85:1,1.85:1,2 Aug 2024,5 Aug 2024,"CP67 Mall, Mohali",,,,
,Stree 2,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,15 Aug 2024,18 Aug 2024,"TDI Jagat, Chandigarh, India",,,,
,Alien: Romulus,English,English,2D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,23 Aug 2024,25 Aug 2024,"Mall of India, Noida",,,,
,Stree 2,Hindi,None,2D,P[XL]; Atmos,2K,5.1,2.39:1,2.39:1,15 Aug 2024,25 Aug 2024,"Mall of India, Noida",,,,
,Beetlejuice Beetlejuice,English,English,2D,4DX,2K,5.1,2.39:1,1.85:1,6 Sep 2024,7 Sep 2024,"Mohali Walk, Mohali",,,,
,Tumbbad,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,,,"Elante Mall, Chandigarh, India",,,,
,Transformers One,Hindi,Hindi SDH,3D,Laser; RealD,2K,5.1,2.39:1,2.39:1,,,"CP67 Mall, Mohali",,,,
,Joker 2,English ,English,2D,P[XL]; Atmos,2K,5.1,1.85:1,2.39:1,2 Oct 2024,2 Oct 2024,"CP67 Mall, Mohali",,,,
,Jigra,Hindi,None,2D,2K Laser; 5.1,2K,5.1,2.39:1,2.39:1,11 Oct 2024,15 Oct 2024,"CP67 Mall, Mohali",4,E8,,
,Gladiator,English ,None,2D,4K Laser; 5.1,2K,5.1,2.39:1,2.39:1,1 Sep 2000,24 Oct 2024,"Mohali Walk, Mohali",1,,,
,Ajab Prem Ki Gazab Kahani,Hindi,None,2D,2K Laser; 5.1,2K,5.1,2.39:1,2.39:1,6 Nov 2009,26 Oct 2024,"Mohali Walk, Mohali",4,,,
,Venom: The Last Dance,English,English,3D,IMAX,2K,5.1,2.39:1,2.39:1,24 Oct 2024,2 Nov 2024,"Ambience Mall, Gurugram",4,CC-F15,,
,Singham Again,Hindi,None,2D,IMAX,2K,5.1,2.39:1,2.39:1,1 Nov 2024,2 Nov 2024,"Ambience Mall, Gurugram",4,PE-J14,,
,Kanguva,Hindi,English,3D,2K Laser; 7.1,2K,5.1,2.39:1,2.39:1,16 Nov 2024,16 Nov 2024,"Mohali Walk, Mohali",,,,
,Gladiator II,Hindi,None,2D,4K Laser; 7.1,2K,5.1,2.39:1,2.39:1,17 Nov 2024,17 Nov 2024,"Mohali Walk, Mohali",,,,
,Kal Ho Na Ho,Hindi,None,2D,P[XL]; 5.1,2K,5.1,1.85:1,2.39:1,,17 Nov 2024,"CP67 Mall, Mohali",,,,
,Moana 2,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,,,,,,,
,Wicked,Hindi,None,2D,,2K,7.1,2.39:1,2.39:1,,,,,,,
,Bhool Bhulaiyaa 3,Hindi,None,2D,P[XL]; 5.1,2K,5.1,1.85:1,2.39:1,,2024.12.04,"CP67 Mall, Mohali",,,,
,Pushpa 2,Hindi,None,2D,P[XL]; 5.1,2K,5.1,1.85:1,2.39:1,,,"CP67 Mall, Mohali",,,,
,Mufasa,Hindi,None,2D,,2K,5.1,2.39:1,1.85:1,,,,,,,
,Barroz,Malayalam,English,3D,,2K,5.1,2.39:1,1.85:1,,2024.12.25,,,,,
,Mufasa,Hindi,None,2D,P[XL]; 5.1,2K,5.1,1.85:1,1.85:1,,,"CP67 Mall, Mohali",,,,
,Kaho Na Pyaar Hai,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,,,,,,,
,Sonic 3,Hindi,None,2D,P[XL]; 5.1,2K,5.1,1.85:1,2.39:1,,,"CP67 Mall, Mohali",,,,
,Nosferatu ,Hindi,None,2D,P[XL]; 5.1,2K,5.1,1.85:1,1.85:1,,,"CP67 Mall, Mohali",,,,
,Nosferatu ,English,English,4K,ONYX; 7.1,4K,5.1,2.39:1,1.85:1,,,"DLF Avenue, Saket, Delhi",,,,
,Mufasa,Hindi,None,RealD 3D,4DX 5.1,2K,5.1,2.39:1,1.85:1,,,"DLF Avenue, Saket, Delhi",,,,
,Ramayana,Hindi,None,4K,ONYX; 5.1,4K,5.1,2.39:1,1.85:1,,,"DLF Avenue, Saket, Delhi",,,,
,Kanguva,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,,,,,,,
,Sky Force,Hindi,None,2D,P[XL]; 5.1,2K,5.1,1.85:1,2.39:1,,,"CP67 Mall, Mohali",,,,
,Interstellar,English,English,2D,IMAX with Laser,4K,5.1,2.39:1,2.39:1,2014.11.07,2025.02.08,"Priya Cinema, Vasant Vihar, Delhi",,,,
,Captain America Brave New World,Hindi,None,2D,IMAX with Laser,2K,12.1,2.39:1,2.39:1,,,"Priya Cinema, Vasant Vihar, Delhi",,,,
,Chhaava,Hindi,None,2D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,,,"Priya Cinema, Vasant Vihar, Delhi",,,,
,Crazxy,Hindi,None,2D,,2K,7.1,2.39:1,2.39:1,2025.02.28,2025.03.02,,,,,
,Mickey 17,English,English,4K,IMAX with Laser,4K,5.1,2.39:1,1.85:1,2025.03.07,2025.03.09,"Palladium, Ahmedabad, Gujarat, India",,,,
,Dune Part Two,English,English,4K,IMAX with Laser,4K,5.1,2.39:1,2.39:1,2024.03.01,2025.03.15,"Rajhans Precia, Surat, Gujarat, India",,,,
,Hubble,Hindi,None,IMAX 3D,IMAX 15/70 GT3D,IMAX 15/70,6.1,2.39:1,2.39:1,2010.03.19,2025.03.15,"Gujarat Science City, Ahmedabad, Gujarat, India",,,,
,Dune Part Two,English,English,2D,IMAX with Laser,4K,12.1,2.39:1,2.39:1,2024.03.01,2025.03.16,"PVR, Select Citywalk, Saket, Delhi, India",,,,
,Interstellar,English,English,2D,IMAX with Laser,4K,5.1,2.39:1,2.39:1,2014.11.07,2025.03.16,"Priya Cinema, Vasant Vihar, Delhi",,,,
,The Diplomat,Hindi,None,4K,P[XL]; 5.1,4K,5.1,1.85:1,2.39:1,2025.03.14,2025.03.21,"CP67 Mall, Mohali",,,,
,Snow White,English,English,2D,,2K,5.1,2.39:1,2.39:1,2025.03.21,2025.03.25,,,,,
